Program,Major,Title,Year,Abstract Keywords,Adviser
BSIT,N/A,BRAIN - 3D FIRST PERSON PUZZLE GAME,2013,"The game was created in a new way in which involves health benefits in every items. Computer games these days became most significant part of children's leisure time and it increasingly important part of our culture. Inspired by different games it is intended to be a far more intuitive solution to the gamers as educational game, which can give importance in their health through the indicated objects which has benefits on each. The system introduces new genre of game of most existing game that lies under First Person Perspective. It has the capability of using a mace to create a portal everywhere inside the game and has a new interface for children. The game included First Person Puzzle (FPP) Game that uses mace to interact with the ground or walls and passes through the portal to make your own way to another place. The game is a single player mode that allows the user to know the game play and learn through the use of items with facts the user collected. The system has been evaluated by five (5) IT Experts of different fields, specifically, - Professors from San Pablo Colleges Medical Center office worker (IT Field), GMA Broadcasting network office worker, SPI Global office worker and thirty non IT experts from 2 schools, 20 students from Gaudete Study Center and 10 students from Col. Lauro D. Dizon Memorial National High School who are gamers. Using the Bruce Whitehill evaluation instrument composed of Complexity, Game Instruction, Uniqueness, Playing Time, Appearance, Materials, Game Idea, Interest, Repeat Play, Interaction, Game Options, Game-world size, Game pieces size, and Text size, the developed system got an over-all rating of Very Acceptable.","CATHERINE A. CASTILLO, MIT"
BSIT,N/A,THE DEVELOPMENT OF E-LEARNING BASIC MATHEMATICS FOR KINDERGARDEN OF MARANATHA CHRISTIAN ACADEMY,2013,"The capstone project focuses on the development E-Learning: Basic Mathematics for Kindergarten of Maranatha Christian Academy. The developer used the software Adobe Flash CS to make the system more interactive on the user. Its main objective is to provide a teaching tool for the student of MCA (Maranatha Christian Academy) have a more knowledge on their subject using computers as an easier way of learning. The system has (4) four main buttons which are Lessons, Quizzes, Volume and Help. In Lessons button, the student can choose from (10) ten topics which are about shapes, colors, sizes, time, skip counting, numbers, calendar, roman numerals, money matters, addition and subtraction. The Quizzes button is the student's evaluation about the lesson. It composed of (10) quizzes based on the lesson. In Volume button the student can adjust the setting of the sound. The Help button guides the user using the system. The system was evaluated by the kindergarten students and teachers of MCA and IT Personnel.","MA. CONCEPTION R. REPALAM, MIT"
BSIT,N/A,THE DEVELOPMENT OF E-LEARNING SYSTEM OF BASIC COMPUTER KNOWLEDGE FOR GRADE 1 PUPILS OF ST. JOSEPH SCHOOL,2013,"An E-Learning is a alternative learning tool that delivers digital content, provides a learner-oriented environment for the teachers and students, can accommodate different learning styles, and facilitate learning through a variety of activities.. This tool is engaged in any learning that uses information and communication technologies, as this would make consistency in the benchmarking process difficult across the electronic technologies in an integrated and directed way. The developers create the study called the ""E-Learning: Basic Computer Knowledge for Grade 1 Pupils of St. Joseph School"" to encourage students to engage actively with their learning. It is a standalone computer system that provides graphical and attractive images, animations, and such background music and sound effects that the user can navigate and will catch their attentions. This system is based on the different parts and functions of the computer. There are three (3) chapters, each consisting of two (2) lessons. There are activities for each lesson and mini games where the user can apply what they have learned. In this study, the developers used software such as Gamemaker to design the whole interface of the system and other features, and Adobe Photoshop CS3 that is used to edit images and putting effects on it. It is already an executable file where both developers and users can use.","MA. CONCEPTION R. REPALAM, MIT"
BSIT,N/A,THE DEVELOPMENT OF JAVIER-REALTY INFORMATION SYSTEM WEBSITE WITH 3D MODEL VIEW,2013,"A website can have an unlimited potential in offering information through the internet. Almost everybody, from an elementary student to a seasoned professional, can have access to the World Wide Web. People use the internet for various reasons; these reasons can be personal, educational, and business. Javier realty is one of the most active participants in the shelter program of the government pioneering in areas with potential growth and conducive to economic development. The company aims for constant growth and diversification in varied levels of real estate projects catering to the low, middle and high-income markets. The researcher gathered important data by interviewing the owner Javier realty. Upon evaluating the information given by the client, the researchers assessed the need to improve the IT interface of the said company. As per the need of the company, the researchers have enhanced the existing website of the client in terms of overall design, feature and interface so that it can be more interactive to their clients. In modifying the website, the said picture of the houses and specifications of the houses was put in the 2D floor plan; also, the following features were added in the website: 1. Video of 3D model of the houses. 2. A forum feature to help the clients communicate better with the company. 3. Individual accounts for the owners with Username and Password in order to conduct transactions securely. 4. And finally, Email notifications to remind the clients of their dues, responsibilities and other information about their account. The information system was evaluated by both IT experts and the Clients in terms of functionality, usability, reliability, performance, and supportability. Proudly, it got a ""Very Acceptable"" rating across the board.",NEIRRO C. ILAGAN
BSIT,N/A,"THE DEVELOPMENT OF ""BACK TO BEGINNING (3D ANIMATION)",2013,"The project is mainly concerned with the development of Back to Beginning (3D Animation). The primary objective of the developers is to develop a 3D Animation for Grade I and Grade Il students of SIAES wherein the students will entertain while watching the animation as well as learning through the animation. The animation has seven scenes and compressed in a DVD. This DVD has a menu that the user or the students can select scenes they want to watch. The research had the following functions; to design the first book and first chapter of the bible namely Genesis: the creation to SIAES, To develop a 3D Animation of the creation as learning tool while listening, watching, reading, learning as well as giving a lesson way to the student ages 6-8 years old in Sta. Isabel Adventist Elementary School; to develop an additional aid for teaching the creation lessons in Sta. Isabel Adventist Elementary School by means of 3D animation; Back to Beginning was tested by conducting an evaluation to different users: seventeen (17) Grade I and Il pupils, eighteen (18) Non-IT and five (5) IT Experts. The researchers assured that the system would be significant and of great help to the Grade | & Il Students of Sta. Isabel Adventist Elementary School in enhancing their mind ability within the subject area. Also, the students will be more fascinated in learning 3D animation in an exciting format.","MA. CONCEPTION R. REPALAM, MIT"
BSIT,N/A,THE DEVELOPMENT OF E-LEARNING: CROPS PRODUCTION TECHNOLOGY 1,2013,"The growth of technology in terms of teaching is considered to be vast and fast-growing. Evidently, education showed its promptness in adopting technology perhaps not fully grasped but many institutions now are gradually applying the modernized way of educational system and Southern Luzon State University is one great example that they are ready to embark this new kind of transition in educational aspect. The researchers considered to develop an e-learning system for Southern Luzon State University about Crops Production because of certain reason that compels them to develop the system. As surveys conducted, the researchers found several problems that an E-learning system would fit to fill, such as: lack of data, lack of technology application, weather instances and difficulty in visualization. The reasons are meant to be adequate for the researcher to develop E-learning: Crops Production Technology 1 for the First Year Students of Southern Luzon State University. The use of variety of multimedia has made to be effective. By means of Images, videos, audio the system will be more comprehensible, educational and interesting for the users. Also, with the use of animation any type of procedural matter or cycle will be illustrated in a way that can be easily understood. After almost one year of developing the system, perform the different types of testing to evaluate the system's functionality and conducted different evaluation procedure to five (5) IT experts and (35) thirty-five Non-IT respondents. In terms of overall result, the system received an interpretation of Very Acceptable which means that the developed system had a fine approval by the users and agreed to be beneficial and effective with regards to learning technique. Content got the lowest average mean with the total of 4.10 which is Very Acceptable. Organization got a total mean of 4.32 which is Very Acceptable. Mechanics got a total mean of 4.28 which is Very Acceptable. Comprehensibility got the highest average mean with the total of 4.35 and fall in an interpretation of Highly Acceptable. Functionality got a total mean of 4.19 which is Very Acceptable and Maintainability got a total mean of 4.42 which is Very Acceptable. It only means that the system developed in terms of all the Software Indicators are Very Acceptable as indicated in the table above. The over-all mean of the system ""E-Learning: Crops Production Technology 1"" is 4.28 which is Very Acceptable. The researchers assured that the system would be significant and of great help to the first year Students of Sothern Luzon State University in enhancing their mind ability within the subject area. Also, the students will be more fascinated in learning Crops Production Technology 1 in a modern type of approach and effective as it is.","MA. CONCEPTION R. REPALAM, MIT"
BSIT,N/A,BEWILDERED WARRIOR: ADVENTURE ROLE PLAYING GAME,2013,"The research project is concerned with the development of Bewildered Warrior an Adventure Role Playing Game. Its main objective is to introduce to the players a less violent content of this game and it include puzzles for the tasks given in order to stick the player in the story. The puzzles include in the game is from the idea of 4 pics 1 word and doors. The game environment is presented in a 3 Dimensional graphics. The game has following functions: (1) it can be played by one player, (2) a standalone and story driven game, (3) only one character can be controlled by the player, (4) provides an options if the player didn't know the controls, (5) an auto save function for players to load the game progress, (6) it is composed of 11 stages represents the elements of Earth, Fire, Water and Air (7) tasks for given for each stage and (8) different terrains, monster, items to collect and NPC that guides and givens the player the task. The Scrum methodology was used by the developers as a guide in the development of the system. The game can be played by the minimum specifications of a system unit of at least a Dual Core processor, 2GB RAM, 700MB of Video Card, CD/DVD ROM for installation and an operating system of WINDOWS XP/7/8. In the evaluation of the systems capability, the developers conducted the evaluation from five (5) IT experts composed of IT office staff and thirty (30) Non IT experts composed of random students and gamers. The developed system was rated Very Acceptable using Bruce Whitehill game evaluation sheet.The result shows that the objectives of the study were achieved and the satisfied the users.","CATHERINE A. CASTILLO, MIT"
BSIT,N/A,DEVELOPMENT OF TRIVAL HOSTILITIES ENGAGE 3D FIRST PERSON SHOOTER GAME,2013,"Virtual game encompasses most common entertainment source of people, specifically the new generations. Teen, young, adult and even professionals have extreme fondness in virtual games. First Person Shooter (FPS) games rank number two (2) on steam.com; a worldwide community for gamers. The system was able to introduce new interface of most existing game that lies under First Person Shooter perspective. It has the capability of using some ancient weapons and has non-fictional skill that changed the genre from military into fantasy- based game. The game included Role Playing Game (RPG) significant functionality that is specifically using larger maps, Manna Points and Spirit Points that are used for skill casting. Also it has Combat Log that are used for displaying player moves, and Communication Log that display messages and player connection in the server. The game also has single player mode that allows the user to know the game story and learn some historical trivia by exploring the map while undertaking the game objectives. The system was evaluated by five (5) IT Experts of different fields, specifically, Professors from AMA College and Office Workers (IT Field), and thirty (30) students from LSPU, who are gamers. Using the Bruce Whitehill evaluation instrument composed of Complexity, Game Instruction, Uniqueness, Playing Time, Appearance, Materials, Game Idea, Interest, Repeat Play, Interaction, Game Options, Game-world size, Game pieces size, and Text size, The developed system got an over-all rating of Very Acceptable. This only shows that the developed system attained the objectives set by the researchers.","CATHERINE A. CASTILLO, MIT"
BSIT,N/A,ANDRIOD GAME: BOB,2013,"Android game is one of those most common sources of entertainment for people of all ages. Young, adult and professionals showed their interest in mobile gaming. Mobile gaming is a global phenomenon because of the Smartphone penetration as stated by Steve Bell. The system was able to introduce new gameplay for Android games. The game is designed with the concept of the combination of maze and adventure, with the controls of tilting the Smartphone device and tapping of the screen. It encompasses a story of the main character Bob that is shown in the two movie clips in the game. The game consists of three (3) stages with eight (😎 levels. each. Each level consists of obstacles and bricks that designed for the increasing difficulty of the game in each stage. The objective of the player is to collect each tool within each level. It has donuts for the player to collect to gain high points. The game also consists of a mini game inside it, it is called the repair room where the player can fix and modify the spaceship. The system was evaluated by five (5) IT Experts of different fields (IT Field), and thirty (30) Non-It Expert. Using FURPS evaluation instrument composed of Complexity, Game Instruction, Uniqueness, Playing Time, Appearance, Materials, Game Idea, Interest, Repeat Play, Interaction, Game Options, Game-world size, Game pieces size, and Text size, The developed system got an over-all rating of Very Acceptable. This only shows that the developed system attained the objectives set by the researchers.",NEIRRO C. ILAGAN
BSIT,N/A,THE DEVELOPMENT OF E-GRAMMARY: MOBILE-LEARNING ABOUT ENGLISH GRAMMAR,2018,"The system entitled ""EGrammary: Mobile-Learning about English Grammar"" was developed to attain its objective which is to develop an application about English grammar. The system will help students and teachers to view and analyze much better the topic about English Grammar. Students can also take some set of quizzes for them to be able to test their knowledge about what they have learned. Also, they can see the accurate results of the quiz taken after each lesson. Using different programming languages such as HTML, JavaScript, and CSS, the application was developed with the following features and capabilities: (1) view topics about grammar; (2) view some graphics with its content about English grammar; (3) watch videos about grammar, (4) take some set of quizzes, and after that the result of quiz will be shown. The system was tested using functionality and compatibility testing. Based on the results the EGrammary passed all the criteria for software quality. The application was evaluated by 5 IT Experts, twenty-three (23) students and two (2) English teachers with the used of ISO 25010. Based on the evaluation conducted, respondents agreed that the system was developed according to its desire functions and requirements.","CATHERINE A. CASTILLO, MIT"
BSIT,N/A,"""LAGUNA STATE POLYTECHNIC UNIVERSITY - SAN PABLO CITY CAMPUS COURSE MANAGEMENT SYSTEM""",2013,"The capstone project focuses on the development of Laguna State Polytechnic University San Pablo City Campus Course Management System. Its main objective is to develop the LSPU SPCC-CMS for educational purposes. The system has three types of users: (1) Students who can download lectures, view the announcement, upload files, take online quizzes, passing assignments online, make a reminder and can message to their classmates and professors. (2) Professors who can upload their lectures, post announcements, and activities such as: assignment, choice, forum and quiz and file uploading to their course. (3) Administration - who can set the time of self-registration for the students, view the activity logs records the times and date the users log in into the system. In the software development life cycle (SDLC) the developers used the modified waterfall in developing system. The system works very well according to their functionality. The system was evaluated for its functionality, usability, reliability, performance and supportability. Upon conducting an evaluation for Laguna State Polytechnic University San Pablo City Campus Course Management System, a total of 118 people served as the respondents. It consists of five (5) IT Experts and one hundred thirteen (113) which are combination of students and professors of LSPU-SPCC. The overall result for functionality, usability, reliability, performance and supportability got Very Acceptable; it shows that the main objective of the developers was met.",NEIRRO C. ILAGAN
BSIT,N/A,ONLINE INVENTORY  OF HACIENDA MACALAUAN,2013,The development of the online sales and inventory system of Hacienda Macalauan is the main focus of the development the main objective of the study is to have an inventory system with online monitoring that will help Hacienda Macalauan to reduce the problems encountered in ordering from Makati branch likewise speed up their inventory process and give them an accurate record of stock as well as serve as marketing channel to their business. Using different programming languages the system was designed and developed with the following features and capabilities. To design a system that will provide the administrator a Data Summaries. To provide the administrator a quick summary of sales through the aid of a bar graph. To provide an online inventory list to the administrator that is easily accessible anywhere. To provide a notification feature for the admin informing him of their expiring and expired products. To provide a system that offers a feedback facility to costumer to know capture comments and suggestions for improving the services of Hacienda Macalauan Inc. The modified waterfall shows the process of developing this system stage by stage. Modified waterfall was used by the developer in this system to focus every stage they make it sure that each stage is completed before they undergo to the next stage. The cause of returning to the earlier stages is to go through some changes that you cannot avoid. Evaluators were categorized into three classes: (1) five IT experts (2) thirty non IT Experts (3) five client or staff.,NEIRRO C. ILAGAN
BSIT,N/A,THREE A AND E TRADING SALES AND INVENTORY SYSTEM,2013,"The project entitled ""Three A and E Trading Sales and Inventory System"" aimed to provide ease in information management. The owners of Three A and E Trading can easily maintain, update, add, edit and delete a specific record of products as well as the customers and suppliers information with the use of the developed system. The developed system has the following features: (1) Automation of the manual inventory system used by the owners of Three A and E Trading; (2) Print the generated reports such as deliver and received products, sales, product list and customers purchased products; (3) Determine the product with low and high quantity of stocks; (4) Determine the sales of the Three A and E Trading business. Evaluators are divided into 3categories; first consists of seven (7) IT Experts, second consists of thirty (30) Non-IT Experts, and third consists of two (2) clients from Three A and E Trading. The developed system was rated as Very Good. The result of the evaluation shows that the objectives of the study were achieved.","CATHERINE A. CASTILLO, MIT"
BSIT,N/A,THE DEVELOPMENT OF 3D GAME: SOLITARY WILDERNESS,2013,"The capstone project focuses on the development OF 3D PC game Solitary Wilderness, its main objective is to develop a 3D game that enables user to clean appropriate waste on different level whether if it is biodegradable or non- biodegradable. Their defining characteristics include a lack of any centralized controlling authority and greater capacity in input, processing, and output. The game ""Solitary Wilderness"" is a survival game for computers with platforms Windows, Mac and Linux. The game consists of two (2) stages: the Beach and the Lone Island. The objective is to collect wastes and dispose them and to keep the island from being polluted. Using the incinerator, the main character, JaniBot should look for the wastes and burn them. And in order to keep on collecting, it needs to re-fuel itself with the use of the wastes turned into energy. The game was evaluated by five (5) IT Experts of different fields (IT Filed), and (30) Non IT Experts using the Evaluation Instrument. The developed system got an over-all rating of 4.68 which is Highly Acceptable. This only shows that the developed game attained the objectives set by the researcher.","JENNELYN E. ESPINUEVA, MIT"
